pop_total,zip code tabulation area,pop_white,pop_black,pop_hispanic
362.0,45378,362.0,0.0,0.0
5385.0,45380,5311.0,5.0,13.0
15097.0,45419,14003.0,236.0,264.0
5796.0,45830,5556.0,7.0,159.0
324.0,45111,255.0,69.0,0.0
40071.0,45231,19736.0,17534.0,530.0
453.0,45360,447.0,0.0,0.0
1461.0,45616,1370.0,5.0,0.0
460.0,45650,382.0,0.0,37.0
1351.0,45729,1335.0,0.0,16.0
4479.0,45347,4352.0,40.0,50.0
5430.0,45381,5322.0,20.0,17.0
20403.0,45414,16279.0,2683.0,305.0
29332.0,45417,4674.0,22958.0,788.0
15730.0,45426,3084.0,11409.0,345.0
17639.0,45504,15582.0,770.0,425.0
12439.0,45309,11594.0,108.0,92.0
3492.0,45369,3448.0,0.0,17.0
955.0,45620,952.0,0.0,3.0
3782.0,45653,3724.0,6.0,0.0
8691.0,45693,8452.0,6.0,178.0
596.0,45770,596.0,0.0,0.0
2263.0,45873,2165.0,0.0,62.0
7585.0,45619,7254.0,254.0,42.0
4438.0,45732,4222.0,22.0,32.0
6892.0,45817,6642.0,54.0,37.0
492.0,45782,449.0,0.0,2.0
1252.0,45881,1160.0,24.0,23.0
2050.0,45827,2006.0,0.0,44.0
2875.0,45882,2785.0,32.0,56.0
32525.0,45103,29886.0,588.0,584.0
4793.0,45612,4640.0,33.0,5.0
14105.0,45202,8876.0,4030.0,344.0
35989.0,45373,31930.0,1283.0,992.0
25145.0,45420,22213.0,864.0,367.0
15599.0,45690,14899.0,127.0,204.0
33047.0,48640,29921.0,620.0,1155.0
1913.0,48370,1812.0,18.0,46.0
2289.0,48460,2132.0,79.0,27.0
20126.0,48532,10860.0,6415.0,1063.0
1618.0,48635,1544.0,0.0,34.0
2129.0,48890,2017.0,2.0,72.0
40041.0,48911,20347.0,10786.0,4027.0
10661.0,48915,4576.0,3019.0,1400.0
6240.0,48003,5730.0,2.0,405.0
8303.0,48015,5766.0,1753.0,146.0
2610.0,48022,2492.0,0.0,93.0
14867.0,48025,12231.0,1505.0,270.0
14638.0,48026,12650.0,917.0,473.0
16592.0,48030,13095.0,2170.0,206.0
13819.0,48034,2792.0,9618.0,305.0
44139.0,48038,35275.0,5632.0,1079.0
7604.0,48039,7505.0,0.0,0.0
4489.0,48041,4344.0,28.0,80.0
11178.0,48065,9824.0,383.0,641.0
30226.0,48071,24389.0,2852.0,796.0
4483.0,48463,4263.0,3.0,59.0
2172.0,48464,2005.0,4.0,55.0
2212.0,48467,2155.0,0.0,37.0
1292.0,48469,1212.0,0.0,48.0
20696.0,48505,2565.0,16222.0,732.0
6646.0,48611,6258.0,0.0,328.0
9147.0,48612,8784.0,2.0,205.0
1020.0,48613,926.0,0.0,51.0
2962.0,48615,2721.0,0.0,159.0
5143.0,48618,4946.0,3.0,116.0
604.0,48619,583.0,0.0,13.0
12028.0,48723,11112.0,174.0,447.0
2322.0,48628,2255.0,0.0,28.0
7858.0,48657,7576.0,48.0,87.0
1153.0,48727,1110.0,0.0,24.0
1457.0,48729,1421.0,0.0,34.0
4474.0,48730,4205.0,29.0,105.0
105.0,48743,105.0,0.0,0.0
8479.0,48750,7745.0,80.0,322.0
1256.0,48766,1159.0,0.0,61.0
20972.0,48813,19384.0,185.0,871.0
13920.0,48836,13208.0,23.0,290.0
18301.0,48838,16990.0,104.0,698.0
5993.0,48849,5275.0,145.0,442.0
23132.0,48864,15179.0,873.0,658.0
1405.0,48873,1392.0,0.0,11.0
26086.0,48906,16253.0,3344.0,4046.0
26185.0,48108,15994.0,3409.0,1082.0
10218.0,48117,9475.0,161.0,306.0
35690.0,48127,30180.0,2904.0,882.0
21792.0,48134,17944.0,1527.0,1680.0
12631.0,48173,11480.0,218.0,573.0
7536.0,48218,2792.0,3759.0,947.0
38797.0,48198,19912.0,13832.0,2258.0
23478.0,48346,20769.0,681.0,1209.0
21230.0,48207,3297.0,17063.0,133.0
29930.0,48210,7753.0,4982.0,16320.0
